make,model,year,cylinders,displ,fuelType,VClass,mpg
3,4369,1985,4.0,-0.9446253252349309,12,29,21
39,4571,1985,12.0,1.222375576084526,12,29,11
32,1360,1985,4.0,-0.7951769872128993,12,28,27
32,953,1985,8.0,1.4465480831175732,12,30,11
127,2787,1993,4.0,-0.7951769872128993,8,0,19
127,2820,1993,4.0,-1.0940736632569625,12,0,22
127,2820,1993,4.0,-1.0940736632569625,12,0,25
134,1517,1993,4.0,-1.2435220012789938,12,0,24
134,1517,1993,4.0,-1.2435220012789938,12,0,26
134,1517,1993,4.0,-1.0940736632569625,12,0,25
134,1517,1993,4.0,-1.0940736632569625,12,0,26
140,2393,1993,4.0,-0.9446253252349309,12,0,21
140,2393,1993,4.0,-0.9446253252349309,12,0,24
140,2628,1993,4.0,-0.9446253252349309,12,0,21
32,953,1985,8.0,1.4465480831175732,12,30,13
140,2628,1993,4.0,-0.9446253252349309,12,0,23
141,80,1993,4.0,-0.7204528182018839,12,0,20
141,80,1993,4.0,-0.7204528182018839,12,0,21
6,2,1993,6.0,-0.3468319731468051,8,2,19
6,2,1993,6.0,-0.3468319731468051,8,2,19
11,472,1993,8.0,0.5498580549853841,8,2,16
11,477,1993,8.0,0.5498580549853841,8,2,16
11,489,1993,12.0,1.2970997450955415,12,2,13
20,1347,1993,4.0,-0.7951769872128993,12,2,23
20,1347,1993,6.0,0.02678887190827367,12,2,19
32,953,1985,8.0,1.4465480831175732,12,30,13
20,1347,1993,6.0,0.02678887190827367,12,2,21
20,3836,1993,6.0,-0.12265946611375764,12,2,20
20,3836,1993,6.0,-0.12265946611375764,12,2,20
20,3836,1993,6.0,0.4004097169633524,12,2,20
20,3864,1993,6.0,0.4004097169633524,12,2,20
24,1855,1993,8.0,0.9982030690514783,8,2,18
24,1855,1993,8.0,1.222375576084526,8,2,17
24,4189,1993,8.0,0.9982030690514783,8,2,18
24,4189,1993,8.0,1.222375576084526,8,2,17
25,2829,1993,4.0,-0.7951769872128993,12,2,21
32,953,1985,8.0,1.4465480831175732,12,30,13
25,2829,1993,6.0,-0.12265946611375764,12,2,20
25,2829,1993,6.0,-0.12265946611375764,12,2,20
25,2829,1993,6.0,0.10151304091928949,12,2,18
25,2829,1993,6.0,0.10151304091928949,12,2,18
26,3259,1993,6.0,0.02678887190827367,12,2,20
23,5079,1993,6.0,-0.19738363512477344,8,2,15
23,5081,1993,6.0,-0.19738363512477344,8,2,15
92,3018,1993,6.0,-0.19738363512477344,8,2,19
92,3018,1993,6.0,-0.19738363512477344,8,2,19
92,3018,1993,6.0,-0.19738363512477344,8,2,20
32,953,1985,8.0,1.9696172661946836,12,30,10
32,1675,1993,4.0,-0.5710044801798522,12,2,21
32,1675,1993,6.0,-0.19738363512477344,12,2,21
32,1675,1993,6.0,0.02678887190827367,12,2,20
32,4370,1993,4.0,-0.5710044801798522,12,2,21
32,4370,1993,4.0,-0.5710044801798522,12,2,23
32,4370,1993,4.0,-0.5710044801798522,12,2,25
32,4370,1993,6.0,-0.19738363512477344,12,2,20
32,4370,1993,6.0,-0.19738363512477344,12,2,21
42,4522,1993,6.0,-0.19738363512477344,12,2,21
42,4528,1993,6.0,-0.19738363512477344,8,2,19
32,983,1985,8.0,1.4465480831175732,12,30,10
42,4522,1993,6.0,0.4004097169633524,12,2,20
42,4573,1993,6.0,0.4004097169633524,12,2,20
42,4573,1993,6.0,0.4004097169633524,8,2,17
42,4573,1993,6.0,0.4004097169633524,8,2,18
42,4573,1993,8.0,1.2970997450955415,12,2,18
52,4316,1993,4.0,-0.9446253252349309,12,2,20
52,4316,1993,4.0,-0.9446253252349309,12,2,20
52,4316,1993,6.0,-0.19738363512477344,12,2,18
56,3465,1993,8.0,0.9234789000404628,8,2,17
56,3466,1993,8.0,0.9234789000404628,8,2,15
32,983,1985,8.0,1.4465480831175732,12,30,10
72,2721,1993,8.0,0.5498580549853841,8,2,18
87,1548,1993,6.0,0.4004097169633524,12,2,19
87,1548,1993,8.0,1.2970997450955415,12,2,18
87,4073,1993,6.0,-0.19738363512477344,12,2,21
87,4073,1993,6.0,0.4004097169633524,12,2,20
83,413,1993,4.0,-0.9446253252349309,12,2,23
83,413,1993,4.0,-0.9446253252349309,12,2,26
83,413,1993,6.0,-0.5710044801798522,8,2,19
83,413,1993,6.0,-0.5710044801798522,8,2,20
83,606,1993,6.0,-0.19738363512477344,8,2,19
32,983,1985,8.0,1.9696172661946836,12,30,10
93,1594,1993,4.0,-0.7951769872128993,12,2,23
